台湾,#genre#
三立台湾台,P2p://ns1.hellotvvod.com:9906/eee1ccef6c7640eb8425a79922f01130
三立都会台,P2p://ns1.hellotvvod.com:9906/d03bbc7d90054cefbc582ad12b0892e5
东森综合台,P2p://ns1.hellotvvod.com:9906/5dc361f0f7954841ad9e408dc8946578
超视,P2p://ns1.hellotvvod.com:9906/ae1f599e86014a88903b828b3782d35f
中天综合台,P2p://ns1.hellotvvod.com:9906/39507c83c4c848118b2bc5e56b40f91b
中天娱乐台,P2p://ns1.hellotvvod.com:9906/3e7d61af00504608a4a3dd6f86f15e92
东森戏剧台,P2p://ns1.hellotvvod.com:9906/23728f7cf94f4813b4c11a5b1dbe2fb4
八大戏剧台,P2p://ns1.hellotvvod.com:9906/5c9ac864d42e4b9cbe8a19b5d03a033f
TVBS欢乐台,P2p://ns1.hellotvvod.com:9906/3d79ebc2dc894aa2855400677a2980bf
纬来戏剧台,P2p://ns1.hellotvvod.com:9906/8981f0b5f0ba4961b045da328dcf1bb3
高点综合台,P2p://ns1.hellotvvod.com:9906/4b371942e3d84f04997850fb09280df1
BBC World News,P2p://ns1.hellotvvod.com:9906/a0dcc5edc0024e7fa6671bd35d9343a3
Al Jazeera English,P2p://ns1.hellotvvod.com:9906/cc14d72d1d314132a334b4c69c400390
CNBC,P2p://ns1.hellotvvod.com:9906/9608b700cab04408a0bfe272e625bc84
Bloomberg TV,P2p://ns1.hellotvvod.com:9906/632982d0000488d3bbfb2844254860de
HITS,P2p://ns1.hellotvvod.com:9906/9ec305de0e2f4c4cbc9ab3702a4593ce
壹电视新闻台,P2p://ns1.hellotvvod.com:9906/eb51f64a5fa247eeb9ee4f2b873a2538
年代新闻,P2p://ns1.hellotvvod.com:9906/cb9b246b644045d9904bda7cff64700a
东森新闻台,P2p://ns1.hellotvvod.com:9906/693511f4bc16414ea8542504561a9589
中天新闻台,P2p://ns1.hellotvvod.com:9906/1024c12594c343b6af5dff660d002058
民视新闻台,P2p://ns1.hellotvvod.com:9906/246f55af09774c22add9f50cb0427021
三立新闻台,P2p://ns1.hellotvvod.com:9906/3afd0637dfc94845a4d9b812378b5740
TVBS新闻台,P2p://ns1.hellotvvod.com:9906/8222cff9be4d45dea17dcf500d9b4db9
TVBS,P2p://ns1.hellotvvod.com:9906/a7700e97b8c04fb4b2f6d2809d6d9b4a
东森财经新闻台,P2p://ns1.hellotvvod.com:9906/5dedafdba29a427697c11401faef1490
非凡新闻台,P2p://ns1.hellotvvod.com:9906/488033886cea43a0981601bca1285663
卫视电影台,P2p://ns1.hellotvvod.com:9906/957901fc9a254dbb91227829d9b995c7
东森电影台,P2p://ns1.hellotvvod.com:9906/94095045274045e1a0d3a328148381f2
纬来电影台,P2p://ns1.hellotvvod.com:9906/c0229f009c174dacaf08710fe71ce2ca
龙祥电影,P2p://ns1.hellotvvod.com:9906/85ea4346fcd441d99a3f06bbe0491f62
HBO,P2p://ns1.hellotvvod.com:9906/2e5d348bf59c45c3b285d5f6af7a6b41
东森洋片台,P2p://ns1.hellotvvod.com:9906/186ead8f2f664bebba3dea7945a8b1e2
AXN,P2p://ns1.hellotvvod.com:9906/3d43beba53b54131ad10b2f8a02d3f47
好莱坞电影台,P2p://ns1.hellotvvod.com:9906/fd41404f169f4a41886551ca8fc022cc
CINEMAX,P2p://ns1.hellotvvod.com:9906/8ef5dc97e25645be8d4e303cb84b15e1
纬来育乐台,P2p://ns1.hellotvvod.com:9906/081ded65dfb345cb993f1d63b454341e
纬来体育台,P2p://ns1.hellotvvod.com:9906/e86f0ed664fe4ad889461916ce915467
ELEVEN体育1台,P2p://ns1.hellotvvod.com:9906/9d678fec5e9445a986c91c547c6765a8
纬来日本,P2p://ns1.hellotvvod.com:9906/64def45a52cb41b3ae5d24b60bb99e71
国兴卫视,P2p://ns1.hellotvvod.com:9906/4c4bce482094473686bc0cc586b68868
FOX,P2p://ns1.hellotvvod.com:9906/6f5553f842d04b68954b8026f8b13854
Z频道,P2p://ns1.hellotvvod.com:9906/12d9d0895a2848b29c19099b1c750927
Animax,P2p://ns1.hellotvvod.com:9906/be96110bfb61424089f4799d0fd88e86
尼克儿童频道,P2p://ns1.hellotvvod.com:9906/e1e9179db15f4e3fadab1522ef1d379e
MTV,P2p://ns1.hellotvvod.com:9906/79e9d8fcc029433eb88c76ec79ea6b79
八大娱乐台,P2p://ns1.hellotvvod.com:9906/ebc41118c53845e8a2dae499581582d6
三立iNEWS,P2p://ns1.hellotvvod.com:9906/14356bac5127458c88f2b8ae99284250
龙华偶像,P2p://ns1.hellotvvod.com:9906/fb6172bdc9fc46c382a819cf091639bf
Arirang,P2p://ns1.hellotvvod.com:9906/efafb6156be7460aaaad33a7aa9ce539
tvN,P2p://ns1.hellotvvod.com:9906/9e80ca9b9e0d4661bca9520c394a2802
DW,P2p://ns1.hellotvvod.com:9906/883cce16471a44efa1302132b0c59e9c
France24,P2p://ns1.hellotvvod.com:9906/59dca49463dc4dea91f3baf8be007a0b
非凡商业台,P2p://ns1.hellotvvod.com:9906/6521b03877e5479d9982fcab29b2e4be
公视3台,P2p://ns1.hellotvvod.com:9906/7ea63223e87b4dcf9768ae5544b719f6
大爱2台,P2p://ns1.hellotvvod.com:9906/486faaf41b7e4885a09844539f61d777
ELTV生活英语台,P2p://ns1.hellotvvod.com:9906/f40071188c164eddaa18b283c910b5ad
靖洋卡通Nice Bingo,P2p://ns1.hellotvvod.com:9906/78f30d3e43e344eb8de57bf763ea50d0
靖天卡通台,P2p://ns1.hellotvvod.com:9906/39eee8a27674442884d223ec6afefae1
达文西频道,P2p://ns1.hellotvvod.com:9906/bb00229dd31f4b3bb0b6fb2a8b2ad317
Nick Jr.,P2p://ns1.hellotvvod.com:9906/393171ef611a48b18958d9cf0061c56b
国会频道1,P2p://ns1.hellotvvod.com:9906/8c00b3f2bbe9406ea0f85a4698998b54
国会频道2,P2p://ns1.hellotvvod.com:9906/86ceec2d17384b5bbe76398630ebda70
MTV Live,P2p://ns1.hellotvvod.com:9906/4a0e496288184ca49d069f89a67e9826
Mezzo Live,P2p://ns1.hellotvvod.com:9906/f8a61ffd73dd4d6187e21ced96d9ee66
CLASSICA 古典乐,P2p://ns1.hellotvvod.com:9906/928c0af1083944d9919da77c61efe853
CMusic,P2p://ns1.hellotvvod.com:9906/d2336cf51faf42778558187f998c2799
爱尔达体育1台(备),P2p://ns1.hellotvvod.com:9906/cbc86e6c986a4b4194c2514f9b5a8aeb
爱尔达体育2台(备),P2p://ns1.hellotvvod.com:9906/00460e84f5ab4b8cbd639b859074cad6
TRACE Sport Stars,P2p://ns1.hellotvvod.com:9906/c78b0fd042644b16ae5a68a501d13b01
博斯高球,P2p://ns1.hellotvvod.com:9906/68c0c771407646208c96f2a5edeebe46
博斯高球二台,P2p://ns1.hellotvvod.com:9906/4f305af816b24109ba5a0d86bf3e712f
博斯网球台,P2p://ns1.hellotvvod.com:9906/722a5b86aa9d4b1cbc6e349bf38f952d
博斯魅力网,P2p://ns1.hellotvvod.com:9906/5c0000c6ebd44d5cb5cc1346f7a4ea58
博斯无限台,P2p://ns1.hellotvvod.com:9906/0a729f4ebe304ac5880bcdc3fd735409
博斯无限二台,P2p://ns1.hellotvvod.com:9906/5a71c4b7a7e44a77a60173a2159d9e86
博斯运动,P2p://ns1.hellotvvod.com:9906/a9a6b20dc3304856a69219e12c07e74a
ELEVEN体育2台,P2p://ns1.hellotvvod.com:9906/9adaaf14e25e44f0b35741e3df606f24
智林体育台,P2p://ns1.hellotvvod.com:9906/508d33bf8ed0474aab39b650120509a6
博斯运动二台,P2p://ns1.hellotvvod.com:9906/1336a84933714044a6a744ec73b15d8b
OUTDOOR,P2p://ns1.hellotvvod.com:9906/9a6f44585efe44838ea189e41fb58ef6
HBO强档巨献,P2p://ns1.hellotvvod.com:9906/7d3ea99ee7d848d596a3ea052a566cd0
HBO原创巨献,P2p://ns1.hellotvvod.com:9906/97d7a522b3b045d0adcf2a717a6f0ff4
国家地理高画质野生频道,P2p://ns1.hellotvvod.com:9906/3e21672ae8184fdca238df5058efbe67
BBC Earth,P2p://ns1.hellotvvod.com:9906/5607bc7a53bc421892cd3e58d2694365
Discovery Asia,P2p://ns1.hellotvvod.com:9906/0db3e039c95a4b20ab854ad011158202
Discovery科学频道,P2p://ns1.hellotvvod.com:9906/0da5263fa35e4e558deb22b305f1aeae
DMAX,P2p://ns1.hellotvvod.com:9906/f83cd21b6aa24f03be5364d3fe94082f
EVE,P2p://ns1.hellotvvod.com:9906/3ccc2eec25ab489db213f9fb46f26a12
HISTORY 2,P2p://ns1.hellotvvod.com:9906/04b361440a4344648869f3613e2b1ba6
历史频道,P2p://ns1.hellotvvod.com:9906/931e00e969394e5aa2abf5c29f0d0f79
罪案侦缉频道,P2p://ns1.hellotvvod.com:9906/16f9d5b08cb64cdc9afd6da5848f3269
BBC Lifestyle,P2p://ns1.hellotvvod.com:9906/77a1270e08bc44cebf20218a8615aa09
LUXE TV,P2p://ns1.hellotvvod.com:9906/a2e0e3369be141cbb4a8aa47d5557535
Lifetime,P2p://ns1.hellotvvod.com:9906/667e0e802f1f4924ba0e25742ad5d1bc
KLT-靖天国际台,P2p://ns1.hellotvvod.com:9906/926da0c0eca94439af50e1c9d7252b91
HGTV居家乐活频道,P2p://ns1.hellotvvod.com:9906/251ab533f96e4439ba04dca63a391f44
靖天资讯台,P2p://ns1.hellotvvod.com:9906/ab943bcadc7445e8a06750601dc1b037
靖天综合台,P2p://ns1.hellotvvod.com:9906/68c5a9a71ff449b9b67851c8cec9569b
靖天育乐台,P2p://ns1.hellotvvod.com:9906/182d978c052c4a4f913676854e33ae5d
中视经典台,P2p://ns1.hellotvvod.com:9906/f1e89df30c8841e3bec492ab4f04620a
中视菁采台,P2p://ns1.hellotvvod.com:9906/5b3a623b59cc4ca485164447a50a50d6
TVBS精采台,P2p://ns1.hellotvvod.com:9906/5583d625f44c42a08c787762d439a928
壹电视综合,P2p://ns1.hellotvvod.com:9906/89ca8b262c174d33bed9dd2d938187dd
纬来精采,P2p://ns1.hellotvvod.com:9906/21d3d32898c044bc9c6a83bee8c37dde
ETtoday综合台,P2p://ns1.hellotvvod.com:9906/d6d614ea121e47ec93126dfe055315dd
民视第一台,P2p://ns1.hellotvvod.com:9906/f7c35013ac12407d924b8238ad5b7cad
民视台湾台,P2p://ns1.hellotvvod.com:9906/1558bbb86bc34a718d5ac897dd0f235c
Nice TV靖天欢乐台,P2p://ns1.hellotvvod.com:9906/12cb22df772f4f42a1dba2f82ebd1056
八大优频道,P2p://ns1.hellotvvod.com:9906/4ca8194ba8504953aa46adfbb99f3d28
三立戏剧台,P2p://ns1.hellotvvod.com:9906/dd38029edb0043ce8f85c2173180ee12
龙华戏剧,P2p://ns1.hellotvvod.com:9906/f0d7603bf3c74bb0b7214439baa86ef1
靖天戏剧台,P2p://ns1.hellotvvod.com:9906/be4aacb84df04c01ad4a6fd88db210f4
靖洋戏剧台,P2p://ns1.hellotvvod.com:9906/9765cc4691bf436692e0d29017dc3303
靖天日本台,P2p://ns1.hellotvvod.com:9906/aafd14ca753041a9a1dacd3114a1c3b0
i-Fun动漫台,P2p://ns1.hellotvvod.com:9906/47962ba885fb4dde8358cda87716a1f7
韩国娱乐台,P2p://ns1.hellotvvod.com:9906/0c017840018c450daba0e157b0f73f53
Love Nature,P2p://ns1.hellotvvod.com:9906/d2714ed99bdf4e8b86f7d214a8f65c31
美食星球,P2p://ns1.hellotvvod.com:9906/75e815a38180467ba76b1555f0da72c4
亚洲美食频道,P2p://ns1.hellotvvod.com:9906/c9930babe39040ab9711dd2be99ff7f2
亚洲旅游台,P2p://ns1.hellotvvod.com:9906/71717d13dcc743789fdbef6af23d5dbb
EYE TV旅游台,P2p://ns1.hellotvvod.com:9906/3d77e3df645347b7bf8898b24021c22c
时尚频道,P2p://ns1.hellotvvod.com:9906/9316712dabca4b2e8d54fc2b47835011
好消息2台,P2p://ns1.hellotvvod.com:9906/6c4d0e53befc4f80aec0ba1cc8875906
三立综合台,P2p://ns1.hellotvvod.com:9906/7d75845766c74122a00bb8db224eda09
星卫娱乐台,P2p://ns1.hellotvvod.com:9906/592e4a01bbdc4e51beffdcc1f0587651
ROCK Extreme,P2p://ns1.hellotvvod.com:9906/3c3ed9c2c2034900851d9012a05a1398
中视新闻台,P2p://ns1.hellotvvod.com:9906/49be27fa88b6416ab36e02d8a9087c3f
寰宇新闻台,P2p://ns1.hellotvvod.com:9906/3daa7cb1507342abb8e7034205417060
华视新闻,P2p://ns1.hellotvvod.com:9906/6f3829c6341e474d9c732b3efc9838f5
NHK新闻资讯台,P2p://ns1.hellotvvod.com:9906/0f4208c1e14d4b36babb481f70323c02
美亚电影台HD,P2p://ns1.hellotvvod.com:9906/5bcc6ad3465c48d2b9ca0fee348095fc
龙华电影,P2p://ns1.hellotvvod.com:9906/5eae0178be844ea9b1df4e8764bb9fd9
星卫HD电影台,P2p://ns1.hellotvvod.com:9906/954d7884e53743c1b086dabec700f77f
靖天映画,P2p://ns1.hellotvvod.com:9906/a34a42ed14174770b0c9e38248b74fe7
靖天电影台,P2p://ns1.hellotvvod.com:9906/67ebfadc889a4e6d921a3dac4c60a13e
WARNER TV,P2p://ns1.hellotvvod.com:9906/4a07915cd04545bc822639cc203446a6
Star Movies HD,P2p://ns1.hellotvvod.com:9906/193db37396de436fac5c57fcb5314978
AMC最爱电影,P2p://ns1.hellotvvod.com:9906/e09586d5be6844b1844aad833297dd40
HBO Family,P2p://ns1.hellotvvod.com:9906/8710b68f6694412c96d1c4f459ebf48a
CatchPlay电影台,P2p://ns1.hellotvvod.com:9906/62c7b91ecaba4ff7b6413f1d3016d11a
CinemaWorld,P2p://ns1.hellotvvod.com:9906/46074777cbb340718ff12c32a0f63a00
壹电视电影台,P2p://ns1.hellotvvod.com:9906/7a746efb886845d0aa5be759581bd440
采昌影剧台,P2p://ns1.hellotvvod.com:9906/f79e88a824034e0d9619d01cd6589945
佛卫慈悲台,P2p://ns1.hellotvvod.com:9906/7fdc8d852db64dcc9a058dd1447db027
TV5Monde,P2p://ns1.hellotvvod.com:9906/20ea6d63c6234829b7e9af85fbd4e488
Cbeebies,P2p://ns1.hellotvvod.com:9906/6e58dc42730f4f9f8636c44bea5fd0ee
EYE TV戏剧台,P2p://ns1.hellotvvod.com:9906/4d2eb9123a624ab9a738f836c502e680
台视新闻台,P2p://ns1.hellotvvod.com:9906/6a8627dfdd524e9b94d3bd389740a9d2
寰宇新闻台湾台,P2p://ns1.hellotvvod.com:9906/48760fbeb15a4544885642389194a66b
台视财经台,P2p://ns1.hellotvvod.com:9906/7b5a05c6ca934563926805f9c5ca9624
纬来日本(备),P2p://ns1.hellotvvod.com:9906/0c0c2ab7ae03476a8c99374476a5c168
爱尔达影剧台,P2p://ns1.hellotvvod.com:9906/ee93580d103f409abda16170eae56e90
ROCK Entertainment,P2p://ns1.hellotvvod.com:9906/6f6e72d07da54aacb4a5bdc61836efb0
民视(备),P2p://ns1.hellotvvod.com:9906/8db5dd51fcef4fd28aba192991efe776
三立台湾台(备),P2p://ns1.hellotvvod.com:9906/13f7086bad674a4d9d91f6b14471b719
Dreamworks,P2p://ns1.hellotvvod.com:9906/b4c3db6c3578467793f2c0aa54ef255d
TV5MONDE Style 生活时尚,P2p://ns1.hellotvvod.com:9906/1c774c9d9274410693be8281b9d297dc
Travel Channel,P2p://ns1.hellotvvod.com:9906/281e96812a8f4acdbba71ad79c15fe95
影迷数位电影台,P2p://ns1.hellotvvod.com:9906/645c997ba91c492babe0f56dfba3853b
卫视中文台,P2p://ns1.hellotvvod.com:9906/c7e0f6b12c2943889d6de8e0d81a91bf
爱尔达体育1台,P2p://ns1.hellotvvod.com:9906/9962b1efe1c74e71abeabdd5e6fdbb94
爱尔达体育2台,P2p://ns1.hellotvvod.com:9906/8066b1254d6f4ad697f4cb6e770ae917
爱尔达体育3台,P2p://ns1.hellotvvod.com:9906/2ee5f37c2ade47c793e3ad06f5b2ada3
台视(备),P2p://ns1.hellotvvod.com:9906/94c89846c7284cf29026952ecef5ff09
大爱(备),P2p://ns1.hellotvvod.com:9906/c97e83e25df0488e988b810b34e8bf24
中视(备),P2p://ns1.hellotvvod.com:9906/336f7c4bbca1439098b6d0e2f3f3ad0d
华视(备),P2p://ns1.hellotvvod.com:9906/0c31946017884921bf3b2a86323128b1
公视(备),P2p://ns1.hellotvvod.com:9906/a25ae6ff76874a558229e225d036bcb9
东森新闻台(备),P2p://ns1.hellotvvod.com:9906/e911563d661b46258aa7f22df821c9e2
镜新闻,P2p://ns1.hellotvvod.com:9906/dcef5b37902b49d0a5d98cd6dea90c59
